,Compound,Date,Negative,Neutral,Positive,Sources,Tweets Ago
252,-0.5423,Mon Jun 04 19:20:10 +0000 2018,0.226,0.774,0.0,@FoxNews,53
253,-0.7579,Mon Jun 04 19:15:08 +0000 2018,0.333,0.667,0.0,@FoxNews,54
254,0.6997,Mon Jun 04 19:09:52 +0000 2018,0.0,0.757,0.243,@FoxNews,55
255,-0.2263,Mon Jun 04 19:05:26 +0000 2018,0.128,0.782,0.091,@FoxNews,56
256,-0.0516,Mon Jun 04 18:58:43 +0000 2018,0.113,0.784,0.103,@FoxNews,57
257,0.5574,Mon Jun 04 18:53:12 +0000 2018,0.0,0.833,0.167,@FoxNews,58
258,0.6546,Mon Jun 04 18:48:10 +0000 2018,0.0,0.723,0.277,@FoxNews,59
259,0.0,Mon Jun 04 18:42:29 +0000 2018,0.0,1.0,0.0,@FoxNews,60
260,-0.7096,Mon Jun 04 18:40:55 +0000 2018,0.296,0.704,0.0,@FoxNews,61
261,0.8625,Mon Jun 04 18:35:30 +0000 2018,0.0,0.51,0.49,@FoxNews,62
262,-0.4215,Mon Jun 04 18:25:31 +0000 2018,0.324,0.511,0.165,@FoxNews,63
263,-0.34,Mon Jun 04 18:17:04 +0000 2018,0.146,0.854,0.0,@FoxNews,64
264,0.0,Mon Jun 04 18:15:24 +0000 2018,0.0,1.0,0.0,@FoxNews,65
265,0.0,Mon Jun 04 18:02:57 +0000 2018,0.0,1.0,0.0,@FoxNews,66
266,0.3595,Mon Jun 04 17:59:00 +0000 2018,0.0,0.849,0.151,@FoxNews,67
267,0.0,Mon Jun 04 17:55:00 +0000 2018,0.0,1.0,0.0,@FoxNews,68
268,0.0,Mon Jun 04 17:40:36 +0000 2018,0.0,1.0,0.0,@FoxNews,69
269,0.0,Mon Jun 04 17:25:19 +0000 2018,0.0,1.0,0.0,@FoxNews,70
270,0.5267,Mon Jun 04 17:18:20 +0000 2018,0.0,0.784,0.216,@FoxNews,71
271,0.3818,Mon Jun 04 17:10:55 +0000 2018,0.0,0.795,0.205,@FoxNews,72
272,-0.7845,Mon Jun 04 16:59:07 +0000 2018,0.347,0.653,0.0,@FoxNews,73
273,0.2263,Mon Jun 04 16:45:31 +0000 2018,0.0,0.853,0.147,@FoxNews,74
274,-0.2023,Mon Jun 04 16:30:20 +0000 2018,0.153,0.847,0.0,@FoxNews,75
275,0.3626,Mon Jun 04 16:27:04 +0000 2018,0.0,0.8,0.2,@FoxNews,76
